51 农林牧渔大类
51.01 农业类
51.01.01 作物生产技术
51.01.02 种子生产与经营
51.01.03 设施农业与装备
51.01.04 现代农业技术
51.01.05 休闲农业
51.01.06 生态农业技术
51.01.07 园艺技术
51.01.08 植物保护与检疫技术
51.01.09 茶树栽培与茶叶加工
51.01.10 中草药栽培技术
51.01.11 烟草栽培与加工
51.01.12 棉花加工与经营管理
51.01.13 农产品加工与质量检测
51.01.14 绿色食品生产与检验
51.01.15 农资营销与服务
51.01.16 农产品流通与管理
51.01.17 农业装备应用技术
51.01.18 农业经济管理
51.01.19 农村经营管理
51.01.20 食用菌生产与加工
51.02 林业类
51.02.01 林业技术
51.02.02 园林技术
51.02.03 森林资源保护
51.02.04 经济林培育与利用
51.02.05 野生植物资源保护与利用
51.02.06 野生动物资源保护与利用
51.02.07 森林生态旅游
51.02.08 森林防火指挥与通讯
51.02.09 自然保护区建设与管理
51.02.10 木工设备应用技术
51.02.11 木材加工技术
51.02.12 林业调查与信息处理
51.02.13 林业信息技术与管理
51.03 畜牧业类
51.03.01 畜牧兽医
51.03.02 动物医学
51.03.03 动物药学
51.03.04 动物防疫与检疫
51.03.05 动物医学检验技术
51.03.06 宠物养护与驯导
51.03.07 实验动物技术
51.03.08 饲料与动物营养
51.03.09 特种动物养殖
51.03.10 畜牧工程技术
51.03.11 蚕桑技术
51.03.12 草业技术
51.03.13 养蜂与蜂产品加工
51.03.14 畜牧业经济管理
51.04 渔业类
51.04.01 水产养殖技术
51.04.02 海洋渔业技术
51.04.03 水族科学与技术
51.04.04 水生动物医学
51.04.05 渔业经济管理
52 资源环境与安全大类
52.01 资源勘查类
52.01.01 国土资源调查与管理
52.01.02 地质调查与矿产普查
52.01.03 矿产地质与勘查
52.01.04 岩矿分析与鉴定
52.01.05 宝玉石鉴定与加工
52.01.06 煤田地质与勘查技术
52.01.07 权籍信息化管理
52.02 地质类
52.02.01 工程地质勘查
52.02.02 水文与工程地质
52.02.03 钻探技术
52.02.04 矿山地质
52.02.05 地球物理勘探技术
52.02.06 地质灾害调查与防治
52.02.07 环境地质工程
52.02.08 岩土工程技术
52.03 测绘地理信息类
52.03.01 工程测量技术
52.03.02 摄影测量与遥感技术
52.03.03 测绘工程技术
52.03.04 测绘地理信息技术
52.03.05 地籍测绘与土地管理
52.03.06 矿山测量
52.03.07 测绘与地质工程技术
52.03.08 导航与位置服务
52.03.09 地图制图与数字传播技术
52.03.10 地理国情监测技术
52.03.11 国土测绘与规划
52.04 石油与天然气类
52.04.01 钻井技术
52.04.02 油气开采技术
52.04.03 油气储运技术
52.04.04 油气地质勘探技术
52.04.05 油田化学应用技术
52.04.06 石油工程技术
52.05 煤炭类
52.05.01 煤矿开采技术
52.05.02 矿井建设
