1 党的机关、国家机关、群众团体和社会组织、企事业单位负责人
1.01 中国共产党机关负责人
1.01.00 中国共产党机关负责人
1.01.00.00 中国共产党机关负责人
1.02 国家机关负责人
1.02.01 国家权力机关负责人
1.02.01.00 国家权力机关负责人
1.02.02 国家行政机关负责人
1.02.02.00 国家行政机关负责人
1.02.03 人民政协机关负责人
1.02.03.00 民政协机关负责人
1.02.04 人民法院和人民检察院负责人
1.02.04.01 人民法院负责人
1.02.04.02 人民检察院负责人
1.03 民主党派和工商联负责人
1.03.00  民主党派和工商联负责人
1.03.00.01 民主党派负责人
1.03.00.02 工商联负责人
1.04 人民团体和群众团体、社会组织及其他成员组织负责人
1.04.01  人民团体和群众团体负责人
1.04.01.01 工会负责人
1.04.01.02 共青团负责人
1.04.01.03 妇联负责人
1.04.01.04 其他民团体和群众团体负责人
1.04.02  社会团体负责人
1.04.02.00 社会团体负责人
1.04.03 民办非企业单位负责人
1.04.03.00 民办非企业单位负责人
1.04.04  社会中介组织负责人
1.04.04.00 社会中介组织负责人
1.04.05 基金会负责人
1.04.05.00 基金会负责人
1.04.06 宗教组织负责人
1.04.06.00 宗教组织负责人
1.05 基层群众自治组织负责人
1.05.00 基层群众自治组织负责人
1.05.00.01 居民委员会负责人
1.05.00.02 村民委员会负责人
1.06 企事业单位负责人
1.06.01 企业负责人
1.06.01.01 企业董事
1.06.01.02 企业经理
1.06.01.03 国有企业中国共产党组织负责人
1.06.02 事业单位负责人
1.06.02.00 事业单位负责人
2 专业技术人员
2.01 科学研究人员
2.01.01 哲学研究人员
2.01.01.00 哲学研究人员
2.01.02 经济学研究人员
2.01.02.00 经济学研究人员L
2.01.03 法学研究人员
2.01.03.00 法学研究人员
2.01.04 教育学研究人员
2.01.04.00 教育学研究人员
2.01.05 历史学研究人员
2.01.05.00 历史学研究人员
2.01.06 自然科学和地球科学研究人员
2.01.06.01 数学研究人员 L
2.01.06.02 物理学研究人员
2.01.06.03 化学研究人员
2.01.06.04 天文学研究人员
2.01.06.05 生物学研究人员
2.01.06.06 地球科学研究人员
2.01.07 农业科学研究人员
2.01.07.00 农业科学研究人员L
2.01.08 医学研究人员
2.01.08.00 医学研究人员
2.01.09 管理学研究人员
2.01.09.00 管理学研究人员L
2.01.10 文学、艺术学研究人员
2.01.10.00 文学、艺术学研究人员
2.01.11 军事学研究人员
2.01.11.00 军事学研究人员
2.01.99 其他科学研究人员
2.02.01.01 地质实验测试工程技术人员
2.02 工程技术人员
2.02.01  地质勘探工程技术人员
2.02.01.02 地球物理地球化学与遥感勘查工程技术人员L
2.02.01.03 水工环地质工程技术人员L
2.02.01.04 地质矿产调查工程技术人员
2.02.01.05 钻探工程技术人员
2.02.02 测绘和地理信息工程技术人员
2.02.02.01 大地测量工程技术人员L
2.02.02.02 工程测量工程技术人员
2.02.02.03 摄影测量与遥感工程技术人员L
2.02.02.04 地图制图工程技术人员
2.02.02.05 海洋测绘工程技术人员L
2.02.02.06 地理国情监测工程技术人员L
2.02.02.07 地理信息系统工程技术人员 L
2.02.02.08 导航与位置服务工程技术人员L
2.02.02.09 地质测绘工程技术人员L
2.02.03 矿山工程技术员
2.02.03.01 矿井建设工程技术人员
2.02.03.02 采矿工程技术人员
2.02.03.03 矿山通风工程技术人员
2.02.03.04 选矿与矿物加工工程技术人员
2.02.03.05 矿山环保复垦工程技术人员L
2.02.04 石油天然气工程技术人员
2.02.04.01 石油天然气开采工程技术人员
2.02.04.02 石油天然气储运工程技术人员
2.02.05 冶金工程技术人员
2.02.05.01 冶炼工程技术人员
2.02.05.02 轧制工程技术人员
2.02.05.03 焦化工程技术人员
2.02.05.04 金属材料工程技术人员
2.02.05.05 耐火材料工程技术人员
2.02.05.06 炭素材料工程技术人员
2.02.05.07 冶金热能工程技术人员L
2.02.05.08 铸管工程技术人员
2.02.06  化工工程技术人员
2.02.06.01 化工实验工程技术人员
2.02.06.02 化工设计工程技术人员
2.02.06.03 化工生产工程技术人员
2.02.07 机械工程技术人员
2.02.07.01 机械设计工程技术人员
2.02.07.02 机械制造工程技术人员
2.02.07.03 仪器仪表工程技术人员
2.02.07.04 设备工程技术人员
2.02.07.05 医学设备管理工程技术人员
2.02.07.06 模具设计工程技术人员
2.02.07.07 自动控制工程技术人员
