好的结果：382
幼儿语言教育 -- 中国语言文学类(编码：05.01，可信度:61.5%);历史学类(编码：06.01，可信度:49.23%);教育学(编码：04，可信度:48.83%)
幼儿美术教育 -- 农学(编码：09，可信度:48.4%);心理学类(编码：07.11，可信度:40.17%);中国语言文学类(编码：05.01，可信度:39.32%)
企业文化建设与管理 -- 中国语言文学类(编码：05.01，可信度:54.14%);农业经济管理类(编码：12.03，可信度:42.85%);电子商务类(编码：12.08，可信度:37.96%)
社会工作概论 -- 社会学类(编码：03.03，可信度:93.54%);外国语言文学类(编码：05.02，可信度:40.7%);林学类(编码：09.05，可信度:32.36%)
旅游客源国概况 -- 旅游管理类(编码：12.09，可信度:72.29%);电子商务类(编码：12.08，可信度:52.08%);工商管理类(编码：12.02，可信度:31.4%)
学前教育原理 -- 教育学(编码：04，可信度:64.01%);教育学类(编码：04.01，可信度:50.73%);马克思主义理论类(编码：03.05，可信度:44.31%)
行政法与行政诉讼法 -- 外国语言文学类(编码：05.02，可信度:52.54%);哲学类(编码：01.01，可信度:50.16%);林学类(编码：09.05，可信度:45.99%)
交通运输概论 -- 交通运输类(编码：08.18，可信度:45.09%);安全科学与工程类(编码：08.29，可信度:38.47%);核工程类(编码：08.22，可信度:38.22%)
旅游学概论 -- 旅游管理类(编码：12.09，可信度:64.11%);电子商务类(编码：12.08，可信度:43.62%);心理学类(编码：07.11，可信度:29.01%)
运动训练学 -- 体育学类(编码：04.02，可信度:93.8%);民族学类(编码：03.04，可信度:60.78%);教育学类(编码：04.01，可信度:33.19%)
古代文学作品选(2) -- 文学(编码：05，可信度:65.07%);戏剧与影视学类(编码：13.03，可信度:49.67%);中国语言文学类(编码：05.01，可信度:49.55%)
思想道德修养与法律基础 -- 电子商务类(编码：12.08，可信度:63.57%);法学类(编码：03.01，可信度:43.15%);数学类(编码：07.01，可信度:39.85%)
国际税收 -- 财政学类(编码：02.02，可信度:87.47%);法学类(编码：03.01，可信度:43.23%);护理学类(编码：10.11，可信度:30.98%)
文学理论(2) -- 文学(编码：05，可信度:66.13%);音乐与舞蹈学类(编码：13.02，可信度:45.91%);艺术学理论类(编码：13.01，可信度:42.53%)
文学艺术产业 -- 艺术学(编码：13，可信度:74.5%);艺术学理论类(编码：13.01，可信度:62.2%);文学(编码：05，可信度:52.18%)
外国文学(2) -- 文学(编码：05，可信度:100.0%);戏剧与影视学类(编码：13.03，可信度:31.18%);中国语言文学类(编码：05.01，可信度:30.2%)
幼儿教育科学研究方法 -- 大气科学类(编码：07.06，可信度:83.54%);草学类(编码：09.07，可信度:83.21%);基础医学类(编码：10.01，可信度:63.84%)
国际市场营销学 -- 工商管理类(编码：12.02，可信度:73.4%);政治学类(编码：03.02，可信度:27.83%);经济学类(编码：02.01，可信度:26.29%)
儿童文学 -- 文学(编码：05，可信度:58.32%);教育学类(编码：04.01，可信度:39.92%);中国语言文学类(编码：05.01，可信度:34.66%)
审计学(新) -- 工商管理类(编码：12.02，可信度:63.28%);管理科学与工程类(编码：12.01，可信度:39.25%);经济学类(编码：02.01，可信度:26.33%)
安全心理学 -- 心理学类(编码：07.11，可信度:100.0%);旅游管理类(编码：12.09，可信度:30.42%);社会学类(编码：03.03，可信度:30.36%)
古今汉语语法的异同 -- 中国语言文学类(编码：05.01，可信度:50.56%);地质学类(编码：07.09，可信度:40.87%);历史学类(编码：06.01，可信度:27.29%)
学前儿童健康教育基础 -- 教育学类(编码：04.01，可信度:60.36%);数学类(编码：07.01，可信度:54.82%);基础医学类(编码：10.01，可信度:47.68%)
市场营销学B -- 工商管理类(编码：12.02，可信度:73.4%);政治学类(编码：03.02，可信度:27.83%);经济学类(编码：02.01，可信度:26.29%)
市场营销学A -- 工商管理类(编码：12.02，可信度:73.4%);政治学类(编码：03.02，可信度:27.83%);经济学类(编码：02.01，可信度:26.29%)
学前儿童科学教育基础 -- 教育学类(编码：04.01，可信度:69.63%);数学类(编码：07.01，可信度:66.27%);草学类(编码：09.07，可信度:61.18%)
高级财务会计 -- 工商管理类(编码：12.02，可信度:71.79%);经济学类(编码：02.01，可信度:25.67%);外国语言文学类(编码：05.02，可信度:24.97%)
交通政策法规 -- 交通运输类(编码：08.18，可信度:58.44%);旅游管理类(编码：12.09，可信度:27.25%);机械类(编码：08.02，可信度:21.6%)
企业经营战略管理 -- 物流管理与工程类(编码：12.06，可信度:47.15%);农业经济管理类(编码：12.03，可信度:46.17%);电子商务类(编码：12.08，可信度:44.85%)
幼儿科学教育 -- 中医学类(编码：10.05，可信度:66.51%);临床医学类(编码：10.02，可信度:56.92%);中西医结合类(编码：10.06，可信度:40.52%)
哲学原理原著 -- 哲学(编码：01，可信度:77.4%);哲学类(编码：01.01，可信度:74.74%);政治学类(编码：03.02，可信度:74.0%)
项目评估 -- 工商管理类(编码：12.02，可信度:58.74%);农学(编码：09，可信度:30.83%);统计学类(编码：07.12，可信度:25.31%)
民法学 -- 护理学类(编码：10.11，可信度:45.49%);外国语言文学类(编码：05.02，可信度:43.85%);林学类(编码：09.05，可信度:39.44%)
国际贸易实务 -- 金融学类(编码：02.03，可信度:64.72%);力学类(编码：08.01，可信度:46.26%);音乐与舞蹈学类(编码：13.02，可信度:45.8%)
律师与公证制度 -- 外国语言文学类(编码：05.02，可信度:46.58%);财政学类(编码：02.02，可信度:40.42%);护理学类(编码：10.11，可信度:40.14%)
政府与事业单位会计 -- 工商管理类(编码：12.02，可信度:53.48%);电子商务类(编码：12.08，可信度:26.43%);旅游管理类(编码：12.09，可信度:24.63%)
财政学 -- 财政学类(编码：02.02，可信度:87.45%);法学类(编码：03.01，可信度:41.65%);护理学类(编码：10.11，可信度:40.11%)
物流学概论 -- 物流管理与工程类(编码：12.06，可信度:62.87%);药学类(编码：10.07，可信度:35.66%);旅游管理类(编码：12.09，可信度:30.43%)
学前教育学 -- 教育学(编码：04，可信度:75.26%);教育学类(编码：04.01，可信度:58.94%);数学类(编码：07.01，可信度:49.19%)
矿产资源经济学 -- 经济学(编码：02，可信度:92.65%);经济学类(编码：02.01，可信度:55.63%);农业经济管理类(编码：12.03，可信度:53.48%)
人口与计划生育管理 -- 管理学(编码：12，可信度:54.87%);旅游管理类(编码：12.09，可信度:49.92%);物流管理与工程类(编码：12.06，可信度:48.68%)
供应链管理 -- 物流管理与工程类(编码：12.06，可信度:74.54%);管理学(编码：12，可信度:71.31%);工业工程类(编码：12.07，可信度:38.77%)
大学语文(一) -- 管理科学与工程类(编码：12.01，可信度:80.95%);计算机类(编码：08.09，可信度:26.1%);自动化类(编码：08.08，可信度:25.94%)
语言学概论 -- 中国语言文学类(编码：05.01，可信度:50.7%);艺术学(编码：13，可信度:41.49%);心理学类(编码：07.11，可信度:38.32%)
学前儿童美术教育 -- 教育学类(编码：04.01，可信度:61.04%);数学类(编码：07.01，可信度:51.51%);心理学类(编码：07.11，可信度:44.19%)
法学基础理论 -- 法学(编码：03，可信度:89.68%);法学类(编码：03.01，可信度:83.32%);电子商务类(编码：12.08，可信度:69.98%)
政治经济学原理 -- 政治学类(编码：03.02，可信度:50.12%);哲学(编码：01，可信度:43.86%);哲学类(编码：01.01，可信度:41.96%)
生产与运作管理 -- 动物生产类(编码：09.03，可信度:47.6%);旅游管理类(编码：12.09，可信度:43.89%);农学(编码：09，可信度:41.2%)
基层行政管理学 -- 政治学类(编码：03.02，可信度:54.86%);公共管理类(编码：12.04，可信度:49.15%);管理学(编码：12，可信度:40.31%)
婚姻家庭法 -- 法学(编码：03，可信度:83.98%);法学类(编码：03.01，可信度:79.56%);财政学类(编码：02.02，可信度:68.32%)
国际贸易理论 -- 力学类(编码：08.01，可信度:61.14%);艺术学理论类(编码：13.01，可信度:55.51%);音乐与舞蹈学类(编码：13.02，可信度:54.8%)
